Add Pin To Net: Unknown Pin: Pin DA2-17
Added Member To Class: ClassName=Battery chargers Member=Component C1 GRM188R61C106MA73
Added Member To Class: ClassName=Battery chargers Member=Component C2 GRM188R61C225KE15
Added Member To Class: ClassName=Battery chargers Member=Component C3 CC0603KRX7R7BB104
Added Member To Class: ClassName=Battery chargers Member=Component C4 GRM188R61C106MA73
Added Member To Class: ClassName=Battery chargers Member=Component C5 GRM188R61C106MA73
Added Member To Class: ClassName=Battery chargers Member=Component C6 GRM188R61C225KE15
Added Member To Class: ClassName=Battery chargers Member=Component C7 CC0603KRX7R7BB104
Added Member To Class: ClassName=Battery chargers Member=Component C8 GRM188R61C106MA73
Added Member To Class: ClassName=Battery chargers Member=Component DA1 TPS22919DCKR
Added Member To Class: ClassName=Battery chargers Member=Component DA2 BQ24072RGTR
Added Member To Class: ClassName=Battery chargers Member=Component HL1 KP-1608MGC
Added Member To Class: ClassName=Battery chargers Member=Component HL2 KP-1608SURC
Added Member To Class: ClassName=Battery chargers Member=Component R1 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R2 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R3 RC0603JR-071K1L
Added Member To Class: ClassName=Battery chargers Member=Component R4 RC0603JR-07910RL
Added Member To Class: ClassName=Battery chargers Member=Component R5 RC0603JR-071KL
Added Member To Class: ClassName=Battery chargers Member=Component R6 RC0603JR-0747KL
Added Member To Class: ClassName=Battery chargers Member=Component R7 RC0603JR-071K5L
Added Member To Class: ClassName=Battery chargers Member=Component R8 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R9 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R10 RC0603JR-071K5L
Added Member To Class: ClassName=Battery chargers Member=Component R11 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R12 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R13 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component R14 RC0603JR-0710KL
Added Member To Class: ClassName=Battery chargers Member=Component RK1 NTHS0603N02N1002J
Added Member To Class: ClassName=Battery chargers Member=Component VD1 PMEG4030EP
Added Member To Class: ClassName=Battery chargers Member=Component XP1 DS1069-2MVW6X
Added Member To Class: ClassName=Battery chargers Member=Component XP2 DS1069-3MVW6X
Added Member To Class: ClassName=Battery chargers Member=Component XP3 DS1069-2MVW6X
Added Member To Class: ClassName=Battery chargers Member=Component XP4 PLS-9
Added Member To Class: ClassName=Battery chargers Member=Component XP5 DS1069-2MVW6X
